Date,Clicks,Impressions,CTR,Position
2025-07-03,9,605,1.49%,24.3
2025-07-04,2,633,0.32%,24.4
2025-07-05,9,552,1.63%,26.9
2025-07-06,4,535,0.75%,28
2025-07-07,4,850,0.47%,28.9
2025-07-08,6,624,0.96%,24.6
2025-07-09,7,905,0.77%,21.2
2025-07-10,9,609,1.48%,27.1
2025-07-11,10,626,1.6%,28.3
2025-07-12,4,583,0.69%,32.4
2025-07-13,2,511,0.39%,30.3
2025-07-14,15,710,2.11%,27.9
2025-07-15,9,691,1.3%,28.3
2025-07-16,11,689,1.6%,28.1
2025-07-17,6,594,1.01%,27.1
2025-07-18,7,684,1.02%,32.2
2025-07-19,3,736,0.41%,38.6
2025-07-20,7,952,0.74%,30
2025-07-21,20,964,2.07%,30
2025-07-22,10,982,1.02%,32.1
2025-07-23,15,865,1.73%,31.5
2025-07-24,19,866,2.19%,30.5
2025-07-25,12,858,1.4%,33.1
2025-07-26,2,800,0.25%,38.9
2025-07-27,8,1025,0.78%,37.5
2025-07-28,17,1201,1.42%,34.4
2025-07-29,17,1158,1.47%,33.5
2025-07-30,14,1036,1.35%,34.5
2025-07-31,13,1543,0.84%,47.5
2025-08-01,10,978,1.02%,37.4
2025-08-02,5,780,0.64%,41.3
2025-08-03,6,986,0.61%,36
2025-08-04,16,1152,1.39%,36.6
2025-08-05,18,1051,1.71%,38.7
2025-08-06,14,1051,1.33%,37.5
2025-08-07,9,1001,0.9%,38.3
2025-08-08,9,1041,0.86%,39.5
2025-08-09,1,941,0.11%,43.5
2025-08-10,9,961,0.94%,39.6
2025-08-11,14,1254,1.12%,37.9
2025-08-12,10,1087,0.92%,35.9
2025-08-13,12,1165,1.03%,36
2025-08-14,19,938,2.03%,36
2025-08-15,13,980,1.33%,35.9
2025-08-16,6,799,0.75%,41.8
2025-08-17,6,850,0.71%,37.9
2025-08-18,19,1100,1.73%,34.2
2025-08-19,11,968,1.14%,34.9
2025-08-20,8,1056,0.76%,36.1
2025-08-21,10,1052,0.95%,34.7
2025-08-22,4,1053,0.38%,41.9
2025-08-23,4,942,0.42%,40.3
2025-08-24,0,974,0%,39.4
2025-08-25,13,1162,1.12%,36.9
2025-08-26,14,1273,1.1%,33.8
2025-08-27,5,1221,0.41%,40.4
2025-08-28,13,1234,1.05%,44.1
2025-08-29,3,1151,0.26%,46.3
2025-08-30,4,1196,0.33%,48.6
2025-08-31,5,1399,0.36%,47.9
2025-09-01,7,1290,0.54%,48.5
2025-09-02,9,1316,0.68%,45.2
2025-09-03,13,1239,1.05%,43.5
2025-09-04,9,1218,0.74%,43.7
2025-09-05,4,1134,0.35%,43.3
2025-09-06,6,1153,0.52%,47.9
2025-09-07,4,1363,0.29%,47.1
2025-09-08,10,1407,0.71%,42.4
2025-09-09,14,1097,1.28%,40.3
2025-09-10,16,1024,1.56%,38.9
2025-09-11,11,957,1.15%,36.7
2025-09-12,4,618,0.65%,30.6
2025-09-13,3,337,0.89%,24.1
2025-09-14,6,432,1.39%,22
2025-09-15,10,617,1.62%,21
2025-09-16,13,619,2.1%,19.5
2025-09-17,14,554,2.53%,19.1
2025-09-18,11,514,2.14%,19.4
2025-09-19,11,600,1.83%,25.7
2025-09-20,4,451,0.89%,27
2025-09-21,10,453,2.21%,23.5
2025-09-22,10,656,1.52%,19.8
2025-09-23,16,559,2.86%,18.9
2025-09-24,11,832,1.32%,18.8
2025-09-25,7,543,1.29%,16.8
2025-09-26,9,863,1.04%,18.8
