Country,Clicks,Impressions,CTR,Position
United States,3027,256579,1.18%,23
Philippines,41,1910,2.15%,11.34
India,31,6576,0.47%,11.61
United Kingdom,20,6019,0.33%,21.63
Pakistan,14,806,1.74%,11.41
Mexico,10,801,1.25%,13.5
Canada,9,3330,0.27%,13.54
France,7,391,1.79%,12.92
Australia,4,1466,0.27%,12.47
South Africa,3,664,0.45%,11.54
Singapore,3,608,0.49%,14.97
Ireland,3,462,0.65%,11.1
Netherlands,3,421,0.71%,6.49
New Zealand,3,394,0.76%,13.43
United Arab Emirates,3,349,0.86%,13.65
Italy,2,501,0.4%,14.57
Bangladesh,2,339,0.59%,14.14
Colombia,2,276,0.72%,16.57
Russia,2,267,0.75%,22.75
Sweden,2,195,1.03%,8.75
Belgium,2,141,1.42%,11.32
Puerto Rico,2,59,3.39%,7.64
Indonesia,1,866,0.12%,14.17
Germany,1,650,0.15%,9.19
Vietnam,1,568,0.18%,21.93
Spain,1,517,0.19%,11.42
South Korea,1,326,0.31%,20.65
Saudi Arabia,1,316,0.32%,13.05
Turkey,1,303,0.33%,15.73
Ukraine,1,280,0.36%,29.29
Thailand,1,273,0.37%,14.71
Poland,1,233,0.43%,8.91
Kenya,1,217,0.46%,8.55
Algeria,1,137,0.73%,19.32
Switzerland,1,126,0.79%,10.19
Peru,1,119,0.84%,12.97
Serbia,1,104,0.96%,11.51
Norway,1,92,1.09%,13.84
Nepal,1,88,1.14%,11.14
Austria,1,77,1.3%,6.29
Ethiopia,1,76,1.32%,15.75
Namibia,1,16,6.25%,7.38
Jersey,1,9,11.11%,9.89
Swaziland,1,4,25%,3.5
American Samoa,1,4,25%,4.75
Turkmenistan,1,1,100%,2
Brazil,0,2100,0%,20.54
Malaysia,0,439,0%,11.42
Japan,0,384,0%,7.95
Nigeria,0,358,0%,9.93
Argentina,0,352,0%,20.92
Egypt,0,344,0%,12.6
China,0,197,0%,8.5
Iraq,0,189,0%,21.23
Hong Kong,0,187,0%,7.41
Ecuador,0,159,0%,18.11
Romania,0,146,0%,9.74
Morocco,0,142,0%,20.13
Chile,0,141,0%,17.34
Cambodia,0,133,0%,9.14
Ghana,0,130,0%,7.39
Israel,0,123,0%,15.55
Taiwan,0,122,0%,11.98
Venezuela,0,122,0%,21.11
Portugal,0,119,0%,8.89
Greece,0,116,0%,10.59
Trinidad & Tobago,0,112,0%,7.75
Finland,0,112,0%,8.81
Denmark,0,108,0%,13.34
Dominican Republic,0,98,0%,18.05
Uganda,0,97,0%,5.41
Oman,0,95,0%,18.43
Jamaica,0,89,0%,7.6
Jordan,0,83,0%,17.7
Sri Lanka,0,76,0%,6.24
Bulgaria,0,75,0%,15.09
Qatar,0,69,0%,10.86
Hungary,0,68,0%,6.87
Kuwait,0,67,0%,9.4
Czechia,0,66,0%,10.55
Guatemala,0,62,0%,15.24
Uruguay,0,61,0%,23.77
Iran,0,60,0%,9.33
Croatia,0,52,0%,10.48
Costa Rica,0,52,0%,16.06
Belarus,0,49,0%,14.71
Lebanon,0,49,0%,17.51
Albania,0,49,0%,18.12
Tunisia,0,49,0%,20.71
Paraguay,0,49,0%,25.41
Lithuania,0,47,0%,11.55
Bahrain,0,47,0%,17.72
Myanmar (Burma),0,46,0%,9.54
Honduras,0,46,0%,11.7
Kazakhstan,0,46,0%,16.57
Panama,0,45,0%,18.8
Malta,0,44,0%,5.84
Uzbekistan,0,38,0%,16.53
Cyprus,0,37,0%,12.54
Mauritius,0,36,0%,7.28
Tanzania,0,36,0%,9.5
Bahamas,0,35,0%,6.69
Bolivia,0,35,0%,14.97
Georgia,0,34,0%,14.06
Zimbabwe,0,34,0%,15
Zambia,0,33,0%,6.03
Slovakia,0,33,0%,8.76
Barbados,0,31,0%,7.55
Slovenia,0,29,0%,7.28
Moldova,0,29,0%,13.38
Palestine,0,29,0%,19.72
Guyana,0,28,0%,6.25
Nicaragua,0,28,0%,17.32
Azerbaijan,0,28,0%,18.61
Syria,0,25,0%,11.24
Macedonia,0,25,0%,18.12
Libya,0,24,0%,9.46
El Salvador,0,24,0%,13.79
St. Lucia,0,23,0%,7.13
Latvia,0,23,0%,8.35
Mozambique,0,22,0%,10.91
Bosnia & Herzegovina,0,22,0%,18.23
Guam,0,21,0%,7.24
Iceland,0,20,0%,12.95
Botswana,0,19,0%,6.74
Kosovo,0,19,0%,18.95
Mongolia,0,19,0%,20.95
Belize,0,18,0%,5.61
Seychelles,0,18,0%,7.72
Armenia,0,18,0%,14.5
Yemen,0,16,0%,6.75
Maldives,0,16,0%,7.94
Congo - Kinshasa,0,16,0%,12.31
Brunei,0,16,0%,12.94
Malawi,0,15,0%,9.2
Senegal,0,15,0%,25.87
Kyrgyzstan,0,15,0%,29.2
Papua New Guinea,0,14,0%,5.71
Fiji,0,14,0%,10
Unknown Region,0,14,0%,10.86
Cameroon,0,14,0%,13.21
Cuba,0,13,0%,9.31
Estonia,0,13,0%,9.38
Luxembourg,0,12,0%,8.75
Côte d’Ivoire,0,12,0%,14.08
Angola,0,12,0%,27.83
Somalia,0,11,0%,10
Grenada,0,11,0%,11.09
Liberia,0,10,0%,4.2
St. Kitts & Nevis,0,10,0%,9.1
St. Vincent & Grenadines,0,9,0%,4.56
Antigua & Barbuda,0,9,0%,5
Mali,0,9,0%,24.89
Rwanda,0,8,0%,6.12
Laos,0,8,0%,7.12
Bhutan,0,7,0%,8.57
Congo - Brazzaville,0,7,0%,38.14
Aruba,0,6,0%,2.17
Suriname,0,6,0%,3.67
Montenegro,0,6,0%,3.83
South Sudan,0,6,0%,6.33
U.S. Virgin Islands,0,6,0%,7.17
Burkina Faso,0,6,0%,10
Isle of Man,0,6,0%,15.5
Sudan,0,6,0%,16.83
Guernsey,0,5,0%,5
Madagascar,0,5,0%,7.2
Cayman Islands,0,5,0%,11
Macau,0,5,0%,11.6
Afghanistan,0,5,0%,11.8
Lesotho,0,5,0%,12.2
Sierra Leone,0,4,0%,1
Haiti,0,4,0%,9
Sint Maarten,0,4,0%,9.25
Gabon,0,4,0%,12.5
Togo,0,4,0%,33.75
Turks & Caicos Islands,0,3,0%,4.33
Gambia,0,3,0%,6.33
Caribbean Netherlands,0,3,0%,7.33
Cape Verde,0,3,0%,7.33
Réunion,0,3,0%,7.33
Dominica,0,3,0%,11.33
Vanuatu,0,3,0%,13
Mauritania,0,3,0%,15.33
Curaçao,0,3,0%,17.33
Niger,0,3,0%,27
Solomon Islands,0,2,0%,1
Djibouti,0,2,0%,2
Guinea-Bissau,0,2,0%,2.5
Chad,0,2,0%,5
Gibraltar,0,2,0%,9.5
French Guiana,0,2,0%,9.5
British Virgin Islands,0,2,0%,11
Benin,0,2,0%,33
St. Martin,0,2,0%,34
Bermuda,0,2,0%,35.5
Western Sahara,0,1,0%,1
Montserrat,0,1,0%,1
Svalbard & Jan Mayen,0,1,0%,1
Timor-Leste,0,1,0%,2
Åland Islands,0,1,0%,3
North Korea,0,1,0%,3
Martinique,0,1,0%,4
Antarctica,0,1,0%,7
New Caledonia,0,1,0%,7
Northern Mariana Islands,0,1,0%,8
Burundi,0,1,0%,9
Kiribati,0,1,0%,9
Marshall Islands,0,1,0%,10
Tajikistan,0,1,0%,11
Samoa,0,1,0%,11
Cook Islands,0,1,0%,12
Guinea,0,1,0%,12
Tonga,0,1,0%,12
Andorra,0,1,0%,23
São Tomé & Príncipe,0,1,0%,46
